2021-03-26T16:17:03Z,It's work
2021-03-26T16:17:03Z,Correctly
2021-03-26T16:17:03Z,exactly
2021-03-26T16:17:32.9996795Z,It's work
2021-03-26T16:17:33.0034475Z,Correctly
2021-03-26T16:17:33.0035544Z,exactly
26.03.2021 16:18:50,It's work
26.03.2021 16:18:50,Correctly
26.03.2021 16:18:50,exactly
26.03.2021 16:46:31,It's work
26.03.2021 16:46:31,Correctly
26.03.2021 16:46:31,exactly
29.03.2021 18:12:06,Tip: is the number added: True
29.03.2021 18:12:43,Tip: is the number added: True
29.03.2021 18:12:53,Tip: Do sets have common numbers: True
01.04.2021 11:15:33,Tip: is the number added: True
01.04.2021 11:15:50,Tip: is the number removed: False
01.04.2021 11:19:15,Ending proccessing...
01.04.2021 11:19:30,Tip: file was readed
01.04.2021 11:19:34,Set b is:
01.04.2021 11:19:34, -2
01.04.2021 11:19:34, 1
01.04.2021 11:19:34, 4
01.04.2021 11:19:34, 5
